peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-79261	Nr4a1	cluster_6	7e-04	0.0159	0.0159	1.1792	0.8058	1.8247	0.2272	0.3107	0.1016	0.1554	1.8256	2.1964	3.8211	9.3774
ldopa-peak-99898	Egr1	cluster_6	0.001	0.0159	0.0159	0.937	2.321	4.4436	0.6934	0.4129	0.3101	0.2065	1.4306	1.1069	3.63	1.7869
ldopa-peak-157487	Gm1673	cluster_6	0.008	0.0159	0.0159	0.5705	2.3027	3.4195	0.3746	0.5428	0.1675	0.2714	1.2253	0.7704	4.0544	0.7237
ldopa-peak-175413	Egr4	cluster_6	0.0014	0.0159	0.0159	1.246	0.6048	1.4344	0.0902	0.3535	0.0404	0.1768	1.9485	2.5729	4.4838	13.2928
ldopa-peak-33416	Per1	cluster_7	0.0096	0.0635	0.1429	0.8002	0.864	1.5044	0.104	0.395	0.0465	0.1975	1.3013	0.7436	1.6734	0.3126
ldopa-peak-58519	Homer1	cluster_7	0.0037	0.0159	0.0159	1.438	0.3001	0.8132	0.1391	0.2211	0.0622	0.1106	2.4788	1.3103	8.5576	1.5624
ldopa-peak-73118	Klf10	cluster_7	0.0063	0.0159	0.0159	0.6223	0.4445	0.6841	0.1038	0.0753	0.0464	0.0377	1.7448	1.4454	3.6111	2.5254
ldopa-peak-91074	Dusp1	cluster_7	0.0072	0.0159	0.0159	2.3397	0.3327	1.684	0.0966	0.8126	0.0432	0.4063	2.1822	1.2204	6.1042	1.3579
ldopa-peak-99898	Egr1	cluster_7	0.006	0.0159	0.0159	1.4597	2.8079	7.7233	0.8107	2.7194	0.3626	1.3597	1.3725	0.7396	4.9892	0.4445
ldopa-peak-116207	Nr4a2	cluster_7	0.0075	0.0317	0.0794	1.6577	0.207	0.6531	0.0863	0.2545	0.0386	0.1273	3.0215	2.1584	11.0324	5.8554
ldopa-peak-146832	Jun	cluster_7	0.0012	0.0159	0.0159	1.0203	0.3006	0.6097	0.0387	0.1257	0.0173	0.0628	2.0179	1.7963	4.399	4.5718
ldopa-peak-175413	Egr4	cluster_7	0.0053	0.0159	0.0159	3.2427	0.1813	1.7158	0.0626	0.8734	0.028	0.4367	2.0608	1.2081	4.2115	1.3417
ldopa-peak-177713	Bhlhe40	cluster_7	5e-04	0.0159	0.0159	0.9655	0.8369	1.6344	0.2088	0.1811	0.0934	0.0906	1.2175	1.2168	1.2932	2.3208
ldopa-peak-99898	Egr1	cluster_8	0.0038	0.0159	0.0159	1.6316	0.2658	0.8236	0.0633	0.2901	0.0283	0.1451	2.7269	2.0558	10.7863	6.2263
ldopa-peak-22331	Hcn2	cluster_9	0.0016	0.0286	0.0286	0.5282	1.5454	2.2286	0.1986	0.1526	NA	0.0763	1.8479	1.3188	4.6524	2.524
ldopa-peak-25884	Kcnmb4	cluster_9	0.0018	0.0286	0.0286	1.3216	0.3082	0.7703	0.0907	0.1475	NA	0.0738	2.0761	1.2233	5.1849	1.2332
ldopa-peak-49555	Chga	cluster_9	0.0014	0.0286	0.0286	0.553	1.6108	2.3632	0.1045	0.2497	NA	0.1248	1.1104	1.374	1.0173	4.2213
ldopa-peak-167977	Pdap1	cluster_9	0.0088	0.0286	0.0286	0.6886	0.4219	0.68	0.1226	0.0572	NA	0.0286	1.5309	1.3467	2.0809	2.3926
ldopa-peak-170459	Ccdc136	cluster_9	0.0023	0.0286	0.0286	0.5452	0.6187	0.9029	0.0962	0.0569	NA	0.0285	1.9914	1.169	6.0939	1.3872
ldopa-peak-190927	Nrip3	cluster_9	0.0049	0.0286	0.0286	0.6158	0.5794	0.8878	0.0717	0.1232	NA	0.0616	2.1458	1.6157	6.8944	3.785
ldopa-peak-83575	Slc49a4	cluster_11	0.0047	0.0286	0.0286	-0.5524	0.6598	0.4499	0.0764	0.0579	NA	0.0289	1.707	2.2107	3.0456	7.0636
ldopa-peak-105759	Syt7	cluster_11	0.0026	0.0286	0.0286	0.5784	0.9391	1.4023	0.1323	0.1322	NA	0.0661	1.2989	0.8771	1.6361	0.4944
ldopa-peak-130535	Skil	cluster_11	0.0043	0.0286	0.0286	0.8585	0.3454	0.6263	0.0886	0.0899	NA	0.045	2.2874	1.3872	7.6324	1.7302
ldopa-peak-38021	Jup	cluster_12	0.0044	0.0159	0.0159	1.1156	1.3758	2.9812	0.6564	0.4555	0.2935	0.2277	0.9394	0.6937	0.1867	1.1319
ldopa-peak-77546	Panx2	cluster_12	0.0064	0.0159	0.0159	0.9298	0.3223	0.614	0.0831	0.1438	0.0371	0.0719	1.833	1.224	3.2114	1.467
ldopa-peak-79261	Nr4a1	cluster_12	0.0055	0.0317	0.0794	0.9743	0.8283	1.6273	0.2551	0.3545	0.1141	0.1772	1.3657	1.157	1.4742	0.8173
ldopa-peak-99898	Egr1	cluster_12	0.0051	0.0159	0.0159	0.8768	2.2384	4.1102	0.542	0.8603	0.2424	0.4302	1.0762	1.0639	0.8948	1.2108
ldopa-peak-175413	Egr4	cluster_12	0.0015	0.0159	0.0159	1.2637	0.6359	1.5268	0.1022	0.3853	0.0457	0.1927	1.635	1.0558	2.4039	0.5937
ldopa-peak-201965	Junb	cluster_12	0.0031	0.0159	0.0159	0.9272	0.9137	1.7373	0.3276	0.1955	0.1465	0.0977	1.2741	1.1194	1.6618	1.5519
ldopa-peak-38021	Jup	cluster_13	0.0047	0.0159	0.0159	0.8683	1.885	3.4411	0.5791	0.5527	0.259	0.2764	0.8956	0.7696	0.5154	0.8528
ldopa-peak-99898	Egr1	cluster_13	0.0022	0.0159	0.0159	0.9923	2.1292	4.2358	0.5069	0.8386	0.2267	0.4193	0.8674	0.7929	0.563	0.7211
ldopa-peak-15667	Angel2	cluster_14	0.0018	0.0159	0.0159	-0.6606	0.6811	0.4309	0.0842	0.064	0.0377	0.032	1.073	1.2412	0.6287	0.6524
ldopa-peak-34291	Smg6	cluster_14	0.0055	0.0159	0.0159	1.8342	0.1946	0.694	0.0696	0.2764	0.0311	0.1382	2.1821	2.0873	5.0694	4.9377
ldopa-peak-38021	Jup	cluster_14	0.0048	0.0159	0.0159	0.951	2.5537	4.9368	0.5964	1.1434	0.2667	0.5717	0.5041	0.5313	-0.1575	0.0066
ldopa-peak-99898	Egr1	cluster_14	0.0036	0.0159	0.0159	0.9707	3.6638	7.1802	1.0066	1.4651	0.4501	0.7326	0.7641	0.7929	0.6112	0.2506
ldopa-peak-104109	Mbp	cluster_14	0.0094	0.0159	0.0159	0.6097	0.3959	0.6041	0.0741	0.1027	0.0331	0.0514	1.4776	1.4012	1.8898	2.2105
ldopa-peak-157233	Fosl2	cluster_14	6e-04	0.0159	0.0159	1.3708	0.2396	0.6197	0.0807	0.1112	0.0361	0.0556	1.6789	1.394	2.3213	1.5102
